%The United States of America, Life tables (period 1x1), Total     Last modified: 21-Jul-2015, MPv5 (May07)
%
%  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0     0.05845  0.05587  0.21  100000    5587   95586  6108064  61.08
  1933           1     0.00933  0.00929  0.50   94413     877   93974  6012478  63.68
  1933           2     0.00436  0.00435  0.50   93536     407   93332  5918504  63.28
  1933           3     0.00311  0.00310  0.50   93129     289   92984  5825171  62.55
  1933           4     0.00237  0.00237  0.50   92840     220   92730  5732187  61.74
  1933           5     0.00198  0.00198  0.50   92620     183   92528  5639457  60.89
  1933           6     0.00177  0.00177  0.50   92437     164   92355  5546929  60.01
  1933           7     0.00161  0.00161  0.50   92273     148   92199  5454574  59.11
  1933           8     0.00147  0.00147  0.50   92124     135   92057  5362375  58.21
  1933           9     0.00135  0.00135  0.50   91989     124   91927  5270318  57.29
  1933          10     0.00127  0.00127  0.50   91865     116   91806  5178392  56.37
  1933          11     0.00123  0.00123  0.50   91748     113   91692  5086585  55.44
  1933          12     0.00128  0.00128  0.50   91635     117   91577  4994893  54.51
  1933          13     0.00140  0.00140  0.50   91518     128   91454  4903317  53.58
  1933          14     0.00158  0.00158  0.50   91390     145   91318  4811863  52.65
  1933          15     0.00182  0.00182  0.50   91245     166   91162  4720545  51.73
  1933          16     0.00206  0.00206  0.50   91080     187   90986  4629382  50.83
  1933          17     0.00229  0.00229  0.50   90892     208   90788  4538397  49.93
  1933          18     0.00252  0.00251  0.50   90684     228   90570  4447609  49.05
  1933          19     0.00274  0.00274  0.50   90456     248   90332  4357039  48.17
  1933          20     0.00297  0.00296  0.50   90208     267   90074  4266707  47.30
  1933          21     0.00317  0.00316  0.50   89941     284   89798  4176632  46.44
  1933          22     0.00333  0.00332  0.50   89656     298   89507  4086834  45.58
  1933          23     0.00346  0.00345  0.50   89358     308   89204  3997327  44.73
  1933          24     0.00354  0.00354  0.50   89050     315   88892  3908122  43.89
  1933          25     0.00360  0.00359  0.50   88735     319   88575  3819230  43.04
  1933          26     0.00366  0.00365  0.50   88416     323   88255  3730655  42.19
  1933          27     0.00373  0.00372  0.50   88093     328   87929  3642400  41.35
  1933          28     0.00381  0.00380  0.50   87765     334   87598  3554471  40.50
  1933          29     0.00390  0.00389  0.50   87431     341   87261  3466873  39.65
  1933          30     0.00401  0.00400  0.50   87091     348   86917  3379612  38.81
  1933          31     0.00415  0.00414  0.50   86743     359   86563  3292695  37.96
  1933          32     0.00433  0.00432  0.50   86383     374   86197  3206132  37.12
  1933          33     0.00457  0.00456  0.50   86010     392   85814  3119935  36.27
  1933          34     0.00485  0.00484  0.50   85618     414   85411  3034121  35.44
  1933          35     0.00515  0.00513  0.50   85204     437   84985  2948710  34.61
  1933          36     0.00540  0.00539  0.50   84766     457   84538  2863725  33.78
  1933          37     0.00561  0.00560  0.50   84310     472   84074  2779187  32.96
  1933          38     0.00580  0.00578  0.50   83838     485   83595  2695114  32.15
  1933          39     0.00597  0.00596  0.50   83353     496   83105  2611518  31.33
  1933          40     0.00619  0.00617  0.50   82856     511   82601  2528414  30.52
  1933          41     0.00650  0.00647  0.50   82345     533   82079  2445813  29.70
  1933          42     0.00691  0.00688  0.50   81812     563   81531  2363734  28.89
  1933          43     0.00740  0.00737  0.50   81249     599   80950  2282203  28.09
  1933          44     0.00795  0.00792  0.50   80650     638   80331  2201254  27.29
  1933          45     0.00855  0.00851  0.50   80012     681   79671  2120923  26.51
  1933          46     0.00916  0.00912  0.50   79331     724   78969  2041251  25.73
  1933          47     0.00980  0.00975  0.50   78607     767   78224  1962282  24.96
  1933          48     0.01049  0.01043  0.50   77841     812   77435  1884058  24.20
  1933          49     0.01124  0.01118  0.50   77029     861   76598  1806624  23.45
  1933          50     0.01204  0.01197  0.50   76168     912   75712  1730025  22.71
  1933          51     0.01284  0.01276  0.50   75256     960   74776  1654314  21.98
  1933          52     0.01362  0.01353  0.50   74296    1005   73793  1579538  21.26
  1933          53     0.01438  0.01427  0.50   73291    1046   72768  1505745  20.54
  1933          54     0.01512  0.01501  0.50   72244    1084   71702  1432977  19.84
  1933          55     0.01592  0.01579  0.50   71160    1124   70598  1361275  19.13
  1933          56     0.01694  0.01679  0.50   70037    1176   69448  1290676  18.43
  1933          57     0.01825  0.01809  0.50   68860    1246   68238  1221228  17.73
  1933          58     0.01988  0.01969  0.50   67615    1331   66949  1152991  17.05
  1933          59     0.02185  0.02161  0.50   66284    1432   65567  1086041  16.38
  1933          60     0.02407  0.02379  0.50   64851    1543   64080  1020474  15.74
  1933          61     0.02625  0.02591  0.50   63309    1640   62488   956394  15.11
  1933          62     0.02830  0.02790  0.50   61668    1721   60808   893906  14.50
  1933          63     0.03023  0.02978  0.50   59947    1785   59055   833098  13.90
  1933          64     0.03206  0.03156  0.50   58162    1835   57245   774043  13.31
  1933          65     0.03394  0.03337  0.50   56327    1880   55387   716798  12.73
  1933          66     0.03635  0.03570  0.50   54447    1944   53475   661411  12.15
  1933          67     0.03948  0.03872  0.50   52503    2033   51487   607936  11.58
  1933          68     0.04342  0.04250  0.50   50470    2145   49398   556450  11.03
  1933          69     0.04827  0.04713  0.50   48325    2278   47187   507052  10.49
  1933          70     0.05390  0.05249  0.50   46048    2417   44839   459865   9.99
  1933          71     0.05947  0.05776  0.50   43631    2520   42371   415026   9.51
  1933          72     0.06467  0.06265  0.50   41111    2576   39823   372655   9.06
  1933          73     0.06953  0.06720  0.50   38535    2589   37240   332833   8.64
  1933          74     0.07317  0.07059  0.50   35946    2537   34677   295592   8.22
  1933          75     0.07757  0.07467  0.50   33408    2495   32161   260915   7.81
  1933          76     0.08344  0.08010  0.50   30914    2476   29676   228754   7.40
  1933          77     0.09080  0.08686  0.50   28438    2470   27203   199078   7.00
  1933          78     0.09935  0.09464  0.50   25968    2458   24739   171876   6.62
  1933          79     0.10897  0.10334  0.50   23510    2429   22295   147137   6.26
  1933          80     0.11774  0.11119  0.50   21080    2344   19908   124842   5.92
  1933          81     0.12863  0.12086  0.50   18736    2264   17604   104933   5.60
  1933          82     0.13981  0.13068  0.50   16472    2153   15396    87329   5.30
  1933          83     0.15130  0.14066  0.50   14320    2014   13312    71933   5.02
  1933          84     0.16313  0.15083  0.50   12305    1856   11377    58621   4.76
  1933          85     0.17519  0.16108  0.50   10449    1683    9608    47244   4.52
  1933          86     0.18836  0.17215  0.50    8766    1509    8012    37636   4.29
  1933          87     0.20298  0.18427  0.50    7257    1337    6588    29624   4.08
  1933          88     0.21839  0.19689  0.50    5920    1166    5337    23036   3.89
  1933          89     0.23355  0.20913  0.50    4754     994    4257    17699   3.72
  1933          90     0.24728  0.22007  0.50    3760     827    3346    13442   3.57
  1933          91     0.25847  0.22889  0.50    2933     671    2597    10095   3.44
  1933          92     0.26695  0.23552  0.50    2261     533    1995     7498   3.32
  1933          93     0.27292  0.24015  0.50    1729     415    1521     5503   3.18
  1933          94     0.27763  0.24379  0.50    1314     320    1153     3982   3.03
  1933          95     0.31378  0.27122  0.50     993     269     859     2829   2.85
  1933          96     0.33114  0.28410  0.50     724     206     621     1970   2.72
  1933          97     0.34899  0.29714  0.50     518     154     441     1349   2.60
  1933          98     0.36727  0.31029  0.50     364     113     308      908   2.49
  1933          99     0.38594  0.32352  0.50     251      81     211      600   2.39
  1933         100     0.40497  0.33678  0.50     170      57     141      389   2.29
  1933         101     0.42428  0.35003  0.50     113      39      93      248   2.20
  1933         102     0.44384  0.36323  0.50      73      27      60      155   2.11
  1933         103     0.46358  0.37635  0.50      47      18      38       95   2.04
  1933         104     0.48344  0.38933  0.50      29      11      23       57   1.96
  1933         105     0.50336  0.40214  0.50      18       7      14       34   1.89
  1933         106     0.52327  0.41475  0.50      11       4       8       19   1.83
  1933         107     0.54311  0.42712  0.50       6       3       5       11   1.78
  1933         108     0.56283  0.43923  0.50       4       2       3        6   1.73
  1933         109     0.58236  0.45103  0.50       2       1       2        3   1.69
  1933         110+    0.60163  1.00000  1.66       1       1       2        2   1.66
  1934           0     0.06425  0.06121  0.23  100000    6121   95263  6045154  60.45
  1934           1     0.01047  0.01041  0.50   93879     978   93390  5949891  63.38
  1934           2     0.00487  0.00485  0.50   92901     451   92676  5856501  63.04
  1934           3     0.00323  0.00323  0.50   92450     298   92301  5763825  62.35
  1934           4     0.00243  0.00243  0.50   92152     224   92040  5671524  61.55
  1934           5     0.00204  0.00203  0.50   91928     187   91834  5579484  60.69
  1934           6     0.00182  0.00182  0.50   91741     167   91657  5487650  59.82
  1934           7     0.00165  0.00165  0.50   91574     151   91498  5395992  58.93
  1934           8     0.00151  0.00151  0.50   91423     138   91354  5304494  58.02
  1934           9     0.00139  0.00139  0.50   91285     127   91222  5213140  57.11
  1934          10     0.00131  0.00131  0.50   91158     119   91099  5121918  56.19
  1934          11     0.00128  0.00128  0.50   91039     116   90981  5030819  55.26
  1934          12     0.00131  0.00131  0.50   90923     119   90864  4939838  54.33
  1934          13     0.00141  0.00141  0.50   90805     128   90741  4848974  53.40
  1934          14     0.00159  0.00159  0.50   90677     144   90605  4758234  52.47
  1934          15     0.00182  0.00182  0.50   90532     165   90450  4667629  51.56
  1934          16     0.00207  0.00207  0.50   90367     187   90274  4577179  50.65
  1934          17     0.00230  0.00230  0.50   90181     208   90077  4486905  49.75
  1934          18     0.00253  0.00253  0.50   89973     228   89859  4396828  48.87
  1934          19     0.00276  0.00276  0.50   89745     248   89622  4306968  47.99
  1934          20     0.00299  0.00298  0.50   89498     267   89364  4217347  47.12
  1934          21     0.00318  0.00318  0.50   89231     284   89089  4127982  46.26
  1934          22     0.00334  0.00334  0.50   88948     297   88799  4038893  45.41
  1934          23     0.00347  0.00347  0.50   88650     307   88497  3950094  44.56
  1934          24     0.00356  0.00355  0.50   88343     314   88186  3861597  43.71
  1934          25     0.00361  0.00361  0.50   88029     318   87870  3773411  42.87
  1934          26     0.00367  0.00366  0.50   87712     321   87551  3685541  42.02
  1934          27     0.00374  0.00373  0.50   87390     326   87227  3597990  41.17
  1934          28     0.00382  0.00381  0.50   87064     332   86898  3510763  40.32
  1934          29     0.00391  0.00390  0.50   86732     339   86563  3423864  39.48
  1934          30     0.00402  0.00401  0.50   86393     347   86220  3337302  38.63
  1934          31     0.00416  0.00415  0.50   86047     357   85868  3251081  37.78
  1934          32     0.00433  0.00432  0.50   85690     371   85505  3165213  36.94
  1934          33     0.00455  0.00454  0.50   85319     387   85126  3079708  36.10
  1934          34     0.00481  0.00480  0.50   84932     408   84728  2994582  35.26
  1934          35     0.00511  0.00510  0.50   84524     431   84309  2909854  34.43
  1934          36     0.00540  0.00539  0.50   84094     453   83867  2825545  33.60
  1934          37     0.00566  0.00564  0.50   83641     472   83405  2741678  32.78
  1934          38     0.00588  0.00586  0.50   83169     487   82925  2658274  31.96
  1934          39     0.00609  0.00607  0.50   82681     502   82430  2575349  31.15
  1934          40     0.00631  0.00629  0.50   82179     517   81921  2492918  30.34
  1934          41     0.00659  0.00657  0.50   81662     536   81394  2410997  29.52
  1934          42     0.00696  0.00694  0.50   81126     563   80845  2329603  28.72
